sp;type;y'(seq.);y(ind.);indTot;t (days);radioT(m);angT(rad);tr;tr_se;act;act_se;s(km/day);s_se(km/day);r(m);r_se(m);ang(rad);ang_se(rad);d(ind/km2);d_se(ind/km2);effort;distr
melmel;laxsist3;45;46;49;3209;11.30032694;0.39269925;0.014334684;0.003479179;0.23341226;0.054459759;7.725619003;1.467919611;7.561476095;0.930142975;0.619888806;0.114242089;0.294249178;0.100039666;0.98;patched
melmel;laxsist4;75;76;82;5738;15.39361664;0.39269925;0.013245033;0.003304702;0.291054445;0.05256061;10.41588215;1.936710143;8.084696825;0.44152748;0.750732207;0.110788549;0.179636594;0.054896396;1.75;patched
ovigme;clust3x1_1;51;108;114;3279;20;0.39269925;0.032936871;0.013388158;0.301318525;0.09244775;7.003241918;1.625199626;7.674391752;0.736399488;0.785398272;0.045644888;0.691196955;0.354800237;0.98;patched
ovigme;clust3x1_2;101;189;195;3411;21.5661157;0.39269925;0.055408971;0.019288982;0.258261954;0.063412955;11.17264832;2.665421708;10.58528139;1.064705688;0.785398272;0.045502585;0.528425929;0.226224598;0.98;patched
ovigme;clust3x1_3;49;82;84;3322;18.43506863;0.39269925;0.024683925;0.015591112;0.210436924;0.085779658;3.416757207;1.142362513;6.739008117;1.088870795;0.670209672;0.137842701;1.261271649;0.921068705;0.98;patched
ovigme;clust4;119;192;196;5983;18.83572413;0.39269925;0.032090924;0.012347022;0.264963588;0.067204724;8.512865636;1.997669044;10.23894955;0.787091442;0.785398272;0.045502613;0.4152538;0.18850639;1.75;patched
ovigme;clust5;176;321;333;9032;18.87509291;0.39269925;0.035540301;0.009905886;0.496529235;0.060831276;14.66957246;2.690440163;9.737717714;0.742129309;0.785398272;0.045502567;0.280613808;0.097073805;2.53;patched
ovigme;clustrand3;67;116;133;3327;15.66051121;0.39269925;0.034866246;0.015357001;0.296987317;0.072319058;8.703513737;2.311724769;8.300057103;0.696574065;0.785398272;0.045678437;0.544367338;0.292825145;0.98;patched
ovigme;clustrand4;136;240;259;5968;16.54609798;0.39269925;0.040214477;0.012368775;0.37607336;0.078829518;9.194340296;2.184368324;9.457508683;0.682285875;0.785398272;0.045502522;0.521612122;0.221765983;1.75;patched
ovigme;lax;509;849;939;7655;18.61845657;0.39269925;0.110907903;0.034272797;0.604411427;0.042449546;10.84334813;1.008670193;8.656166098;0.238269348;0.785398272;0.036653031;1.33271131;0.42750713;2.53;patched
ovigme;laxrand3;189;246;283;3192;20.91210881;0.39269925;0.077067669;0.027225702;0.398935793;0.057073736;15.03967007;2.420928004;7.85115477;0.523110861;0.785398273;0.045418146;0.736144289;0.300662523;0.98;patched
ovigme;laxrand4;344;492;571;5822;19.13308616;0.39269925;0.084507042;0.025458465;0.536796169;0.045723038;10.1978165;1.073620025;8.679584817;0.261701016;0.785398272;0.040986497;1.07683541;0.363082262;1.75;patched
ovigme;laxsist3;200;263;292;3209;19.6697134;0.39269925;0.081956996;0.033887829;0.373739197;0.048739099;5.644385779;0.795823471;9.331712415;0.371803622;0.785398273;0.045469223;1.754973516;0.86791839;0.98;patched
ovigme;laxsist4;324;468;542;5738;18.8387058;0.39269925;0.08156152;0.025608567;0.504519946;0.044897553;9.359693435;0.829993662;8.576080048;0.272681583;0.785398272;0.041909583;1.146033809;0.39255488;1.75;patched
susscr;clust3x1_1;380;493;518;3279;26.91858694;0.39269925;0.150350717;0.021260828;0.39685657;0.043650243;11.29160068;1.426954882;7.829097019;0.283105171;0.785398499;0.000464729;1.910448894;0.371229785;0.98;not patched
susscr;clust3x1_2;340;462;485;3411;21.74137825;0.39269925;0.135444151;0.01968334;0.551705737;0.058798446;22.99380355;2.59312777;6.768982769;0.29798846;0.785398499;0.000613948;0.977247173;0.183953431;0.98;not patched
susscr;clust3x1_3;344;453;490;3322;22.18129429;0.39269925;0.136363636;0.022058717;0.342996515;0.045348612;8.161591706;0.811440024;7.488006906;0.361990834;0.785398272;0.045507591;2.516633907;0.520894004;0.98;not patched
susscr;clust4;588;788;847;5983;20.16496133;0.39269925;0.131706502;0.015525036;0.514336708;0.051032726;17.52056579;1.957712011;7.482047594;0.447277046;0.785398272;0.032215816;1.130309873;0.199550279;1.75;not patched
susscr;clust5;894;1178;1263;9032;19.70179883;0.39269925;0.130425155;0.012031327;0.4676153;0.034606074;14.01877801;1.251355455;7.849997099;0.307915183;0.785398499;0.000985945;1.33446219;0.187042872;2.53;not patched
susscr;clustrand3;358;487;530;3327;20.71826689;0.39269925;0.146378118;0.022474655;0.511868314;0.053005058;11.22253757;1.515659366;8.002050312;0.493725432;0.785398272;0.045626049;1.838426984;0.410406323;0.98;not patched
susscr;clustrand4;629;815;874;5968;20.36340341;0.39269925;0.136561662;0.015694585;0.476714388;0.040643515;13.15666823;1.47029321;7.600260356;0.359873653;0.785398272;0.037820933;1.540341343;0.265368512;1.75;not patched
susscr;lax;771;1006;1130;7655;19.51644685;0.39269925;0.131417374;0.013990929;0.479187926;0.03776158;10.64106159;0.891084702;7.042784358;0.344610138;0.785398272;0.029147359;1.97781656;0.281127555;2.53;not patched
susscr;laxrand3;370;512;585;3192;20.81794639;0.39269925;0.160401003;0.025762827;0.440207362;0.055081834;10.55640972;1.029845119;7.421394628;0.311764499;0.785398272;0.040192506;2.309233693;0.465491595;0.98;not patched
susscr;laxrand4;651;852;959;5822;19.4722601;0.39269925;0.146341463;0.016015782;0.469876085;0.038940968;10.65235916;0.980895067;6.935083757;0.361559973;0.785398272;0.031403213;2.234253532;0.346860906;1.75;not patched
susscr;laxsist3;337;446;497;3209;17.90727615;0.39269925;0.138984107;0.019392255;0.522962149;0.052273235;9.287251386;1.219954746;7.334293727;0.413133509;0.785398272;0.042529895;2.301347559;0.476717603;0.98;not patched
